"Postal Areas (UR) by Highest Year of School Completed (HSCP)"
"Counting: Persons, Place of Usual Residence"

,"Highest Year of School Completed (HSCP)","Year 12 or equivalent","Year 11 or equivalent","Year 10 or equivalent","Year 9 or equivalent","Year 8 or below","Did not go to school","Not stated","Not applicable","Total",
,"Postal Areas (UR)",
,"5043, SA",6855,2214,2391,907,1221,154,1438,2405,17585,
,"5044, SA",4416,1491,1372,460,412,33,704,1525,10413,
,"5045, SA",7409,2156,1897,496,504,32,1142,1816,15452,
,"5046, SA",3144,1219,1173,440,464,27,469,1069,8005,
,"5047, SA",2935,1080,996,365,429,57,431,1207,7500,
,"5048, SA",5471,1990,1846,588,670,107,854,1961,13487,
,"5049, SA",4256,1408,1330,334,265,34,396,1450,9473,
,"5050, SA",2646,736,652,182,167,16,194,833,5426,
,"5051, SA",6299,1930,1393,363,232,15,395,2658,13285,
,"5052, SA",3241,815,647,216,87,3,269,1093,6371,
,"5061, SA",5381,927,654,207,322,55,467,1640,9653,
,"5062, SA",7832,1731,1316,419,418,31,616,2523,14886,
,"5063, SA",6450,1158,857,273,404,70,721,1871,11804,
,"5064, SA",5022,1086,920,294,224,18,573,1441,9578,
,"5065, SA",5205,954,810,221,229,30,622,1517,9588,
,"5066, SA",6355,1140,946,264,182,19,435,1953,11294,
,"5067, SA",5813,908,705,245,330,63,740,1154,9958,
,"5068, SA",6335,1262,984,373,456,54,585,1757,11806,
,"5069, SA",4602,776,553,214,340,53,386,1350,8274,
,"5070, SA",6602,1502,1321,519,1176,166,886,2017,14189,
,"5072, SA",5950,1364,1168,388,599,59,593,1850,11971,
,"5073, SA",6516,1704,1381,496,1076,210,812,2402,14597,
,"5074, SA",4689,1559,1280,501,1209,191,748,2060,12237,
,"5075, SA",4034,1475,1348,415,701,78,532,1684,10267,
,"5076, SA",3976,1428,1089,320,423,51,310,1664,9261,
,"5081, SA",4644,879,726,257,294,19,513,1313,8645,
,"5082, SA",7212,1649,1165,404,795,120,749,2414,14508,
,"5083, SA",3351,901,755,223,370,45,374,1243,7262,
,"5084, SA",3338,989,1040,507,767,285,747,1804,9477,
,"5085, SA",5670,1740,1702,692,960,292,1872,2856,15784,
,"5086, SA",6073,1857,1814,700,825,156,974,2758,15157,
,"5087, SA",4567,1294,1178,425,640,64,702,1562,10432,
,"5088, SA",1156,451,474,175,206,24,187,503,3176,
,"5089, SA",2688,1100,892,221,192,13,258,1286,6650,
,"5090, SA",2464,1205,1233,408,633,24,580,1092,7639,
,"5091, SA",2698,1323,1201,302,228,8,265,1317,7342,
,"5092, SA",5875,2798,2384,704,597,49,719,2748,15874,
,"5093, SA",2904,1467,1415,470,499,50,480,1626,8911,
,"5094, SA",239,107,116,61,53,13,58,144,791,
,"5095, SA",7664,2208,2042,610,685,148,1140,3432,17929,
,"5096, SA",4647,2473,2257,685,637,135,847,2774,14455,
,"5097, SA",4577,2414,2175,623,646,26,557,2301,13319,
,"5098, SA",3779,1880,1918,673,682,110,887,2195,12124,
,"5106, SA",76,0,0,0,0,0,0,0,76,
,"5107, SA",4469,2222,2411,972,969,334,858,3090,15325,
,"5108, SA",9427,6160,6271,2242,2373,678,2796,8012,37959,
,"5109, SA",5709,3607,3546,1132,1108,146,1335,3754,20337,
,"5110, SA",2146,1273,1189,446,459,176,573,1859,8121,
,"5111, SA",116,29,33,9,0,0,3,3,193,
,"5112, SA",4281,3031,3412,1262,1217,171,1615,3747,18736,
,"5113, SA",3604,2876,3400,1483,1253,159,1592,4320,18687,
,"5114, SA",7602,5094,4912,1645,1021,123,1504,7197,29098,
,"5115, SA",1713,1151,1156,383,272,52,414,1767,6908,
,"5116, SA",2188,1355,1315,500,414,18,435,1484,7709,
,"5117, SA",600,438,424,127,77,10,50,636,2362,
,"5118, SA",5112,3080,2855,946,862,41,974,3420,17290,
,"5120, SA",466,223,244,122,187,63,120,322,1747,
,"5121, SA",325,206,227,100,120,21,121,174,1294,
,"5125, SA",6816,3273,2663,706,466,20,656,3908,18508,
,"5126, SA",2509,1350,1175,306,185,8,361,1322,7216,
,"5127, SA",3009,1548,1111,354,231,10,353,1386,8002,
,"5131, SA",329,177,130,36,18,3,31,164,888,
,"5132, SA",114,71,56,11,12,0,20,59,343,
,"5133, SA",206,93,77,27,18,0,22,92,535,
,"5134, SA",206,49,53,13,10,0,18,95,444,
,"5136, SA",256,71,54,13,8,0,31,103,536,
,"5137, SA",214,68,42,22,9,0,20,90,465,
,"5138, SA",180,44,38,15,14,0,10,75,376,
